AQUARESP VERSION 3  ASAP - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1745641134
Flush time ,s: 240
Wait time, s: 60
Measurement time, s: 1200
Mass of fish, kg: 0.123
Volume respirometer, L: 3.35
Real volume (vresp - vfish) (neutrally bouyant), L: 3.2270000000000003
Salinity: 35.5
Temperature: 15.6
Oxygen solubilty, mg O2 / L: 8.062287064122385

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2;SLOPE;Intercept;Pearson R;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;
2025-04-26 21:52:07;6.183611111111111;1745669527;52.27131689314503;-0.006864498735763012;99.89978565749236;-0.9921575527741712;0.9843766095268323;0.0;2.498546412040819e-05;1200;95.77765416666666;95.5855;91.931;100.332;8.400999999999996;8.062287064122385;26.23577235772358;6.183611111111111;371.01666666666665;22261;0.25765046296296296;
2025-04-26 22:17:08;6.6002777777777775;1745671027;36.34440989066647;-0.004772907410321067;100.89178281149707;-0.9944696061754045;0.988969797606664;0.0;1.4569215280944405e-05;1199;98.02803836530443;98.144;94.865;100.712;5.847000000000008;8.062287064122385;26.23577235772358;6.6002777777777775;396.01666666666665;23761;0.27501157407407406;
2025-04-26 22:42:07;7.017222222222222;1745672527;54.45648129868674;-0.007151464115455647;100.36335549542049;-0.9945516153959847;0.9891329156867626;0.0;2.1647839701880746e-05;1201;96.06532556203165;96.191;91.767;99.855;8.088000000000008;8.062287064122385;26.23577235772358;7.017222222222222;421.03333333333336;25262;0.29238425925925926;
2025-04-26 23:07:08;7.433888888888889;1745674027;38.7666128511714;-0.005091001733334537;100.53763570753406;-0.9568678559255637;0.9155960937035853;0.0;4.465850121811162e-05;1200;97.48048916666667;97.97749999999999;93.19;99.821;6.631;8.062287064122385;26.23577235772358;7.433888888888889;446.03333333333336;26762;0.30974537037037037;
2025-04-26 23:32:08;7.850555555555555;1745675527;41.294579184722096;-0.005422985366656504;101.09149354601057;-0.9554204178432777;0.9128281748318233;0.0;4.8417635311925335e-05;1200;97.83499083333334;98.338;92.832;100.435;7.603000000000009;8.062287064122385;26.23577235772358;7.850555555555555;471.03333333333336;28262;0.32710648148148147;
2025-04-26 23:57:08;8.267222222222221;1745677028;36.23168235163328;-0.004758103535171703;100.26077585139318;-0.8955324688493105;0.8019784027633412;2.5518744067426754e-61;0.0001818718476201691;1200;99.85157894736841;99.808;99.348;100.285;0.9369999999999976;8.062287064122385;26.23577235772358;8.267222222222221;496.03333333333336;29762;0.3444675925925926;
2025-04-27 00:22:08;8.68388888888889;1745678527;42.743518816111994;-0.005613266477962833;100.03720902001669;-0.9988139299551079;0.9976292666723672;0.0;7.905767040090414e-06;1200;96.6664425;96.68;93.204;100.1;6.896000000000001;8.062287064122385;26.23577235772358;8.68388888888889;521.0333333333333;31262;0.3618287037037037;
2025-04-27 00:47:08;9.100555555555555;1745680028;30.780009404414255;-0.004042165918170778;100.94131063386156;-0.4325007298055224;0.1870568812823095;7.097586301167727e-56;0.00024346075357210275;1200;98.51399;98.732;0.0;100.982;100.982;8.062287064122385;26.23577235772358;9.100555555555555;546.0333333333333;32762;0.37918981481481484;
2025-04-27 01:12:08;9.517222222222221;1745681528;55.80816881394906;-0.007328973652065038;101.45697867806506;-0.6506594364699765;0.42335770226742736;2.1466761332329142e-145;0.00024712362527924117;1200;97.05593;98.0575;0.0;100.244;100.244;8.062287064122385;26.23577235772358;9.517222222222221;571.0333333333333;34262;0.39655092592592595;
2025-04-27 01:37:08;9.93388888888889;1745683028;47.54506136036001;-0.006243826117240359;99.67930008340282;-0.9868950797156731;0.9739618983670049;0.0;2.949552061383369e-05;1200;95.92988249999999;96.199;91.459;99.533;8.073999999999998;8.062287064122385;26.23577235772358;9.93388888888889;596.0333333333333;35762;0.41391203703703705;
2025-04-27 02:02:08;10.350555555555555;1745684528;31.841795548579995;-0.004181604334447454;100.73297506950237;-0.9836720217943657;0.9676106464610151;0.0;2.2103718912677644e-05;1200;98.22192166666667;98.334;94.758;100.494;5.736000000000004;8.062287064122385;26.23577235772358;10.350555555555555;621.0333333333333;37262;0.43127314814814816;
2025-04-27 02:27:08;10.767222222222221;1745686028;34.36273215778488;-0.004512664793517218;101.2982102085071;-0.4881024724474857;0.23824402360934857;7.597429541502371e-73;0.00023313184102674635;1200;98.588355;98.834;0.0;101.02;101.02;8.062287064122385;26.23577235772358;10.767222222222221;646.0333333333333;38762;0.44863425925925926;
2025-04-27 02:52:08;11.18388888888889;1745687528;37.6751367148544;-0.004947664296989096;101.96054241034194;-0.9643217422038439;0.9299164224870569;0.0;3.92426194053387e-05;1200;98.98947;99.40950000000001;94.773;101.368;6.594999999999999;8.062287064122385;26.23577235772358;11.18388888888889;671.0333333333333;40262;0.46599537037037037;
2025-04-27 03:17:08;11.600555555555555;1745689028;33.01364050221161;-0.004335496156594553;101.4153471087017;-0.9886904116157369;0.9775087300208952;0.0;1.9000151486036315e-05;1200;98.81188166666666;98.965;95.423;101.134;5.7109999999999985;8.062287064122385;26.23577235772358;11.600555555555555;696.0333333333333;41762;0.48335648148148147;
2025-04-27 03:42:09;12.017222222222221;1745690528;30.921517212375946;-0.004060749344542824;100.66938788862727;-0.9855282854164074;0.9712660013558037;0.0;2.0187756036606633e-05;1199;98.23293828190158;98.598;95.503;100.215;4.712000000000003;8.062287064122385;26.23577235772358;12.017222222222221;721.0333333333333;43262;0.5007175925925926;
2025-04-27 04:07:08;12.43388888888889;1745692028;22.148689804855373;-0.002908663148377186;100.4331947206005;-0.33151374148493273;0.10990136079333881;3.570098887192784e-32;0.00023915670055562886;1200;98.6865425;98.896;0.0;100.333;100.333;8.062287064122385;26.23577235772358;12.43388888888889;746.0333333333333;44762;0.5180787037037037;
2025-04-27 04:32:08;12.850555555555555;1745693528;22.885437538041366;-0.003005416094038954;101.03691736447038;-0.9887054116227102;0.9775383909720328;0.0;1.3162237386776215e-05;1200;99.232165;99.344;97.11;100.828;3.7180000000000035;8.062287064122385;26.23577235772358;12.850555555555555;771.0333333333333;46262;0.5354398148148148;
2025-04-27 04:57:08;13.267222222222221;1745695028;21.497373340712134;-0.002823129411895425;101.5434992118432;-0.9853756978042216;0.9709652658231567;0.0;1.4104557238222942e-05;1200;99.84821;100.01650000000001;97.785;101.297;3.5120000000000005;8.062287064122385;26.23577235772358;13.267222222222221;796.0333333333333;47762;0.5528009259259259;
2025-04-27 05:22:09;13.684166666666666;1745696528;22.29905473979187;-0.0029284097315345364;101.69934587711981;-0.9795592144275156;0.9595362545698515;0.0;1.7374238464546236e-05;1200;99.94083583333332;100.1625;97.806;101.412;3.6060000000000088;8.062287064122385;26.23577235772358;13.684166666666666;821.05;49263;0.5701736111111111;
2025-04-27 05:47:09;14.100833333333334;1745698028;23.73287338054636;-0.0031167050879896438;101.51608473867113;-0.9852866814395767;0.9707898446222138;0.0;1.5619661656739852e-05;1200;99.64450333333335;99.884;97.347;101.295;3.9480000000000075;8.062287064122385;26.23577235772358;14.100833333333334;846.05;50763;0.5875347222222222;
2025-04-27 06:12:09;14.5175;1745699528;22.634583244327967;-0.002972472807272782;100.66441658743398;-0.9895751412733809;0.9792589602262317;0.0;1.2498444510817147e-05;1200;98.87944666666667;98.972;96.669;100.5;3.831000000000003;8.062287064122385;26.23577235772358;14.5175;871.05;52263;0.6048958333333333;
2025-04-27 06:37:09;14.934166666666666;1745701028;17.684748031236907;-0.002322438723915781;100.16729278704476;-0.2678519572572028;0.0717446710065144;3.6556671924010634e-21;0.00024135414210730197;1200;98.77266833333333;98.979;0.0;100.403;100.403;8.062287064122385;26.23577235772358;14.934166666666666;896.05;53763;0.6222569444444445;
2025-04-27 07:02:09;15.350833333333334;1745702529;19.878275719498856;-0.002610502406598893;101.16917752849598;-0.9825030885119685;0.9653123189355571;0.0;1.4297147521078553e-05;1200;99.60157083333334;99.7695;97.663;100.971;3.308000000000007;8.062287064122385;26.23577235772358;15.350833333333334;921.05;55263;0.6396180555555555;
2025-04-27 07:27:09;15.7675;1745704029;19.439206567573944;-0.0025528419186402218;101.61069990547678;-0.982134401558562;0.9645879827247947;0.0;1.4131879437724867e-05;1200;100.07771833333332;100.22149999999999;98.068;101.416;3.347999999999999;8.062287064122385;26.23577235772358;15.7675;946.05;56763;0.6569791666666667;
2025-04-27 07:52:09;16.184166666666666;1745705529;27.768608847753306;-0.003646695581038597;102.02573402974703;-0.9742209204975844;0.9491064019351606;0.0;2.4397494465301563e-05;1200;99.83589333333335;100.008;96.919;101.514;4.594999999999999;8.062287064122385;26.23577235772358;16.184166666666666;971.05;58263;0.6743402777777778;
